新景家园东区,东城,2室1厅,78.36,精装,低楼层,2004年建板楼,南 北,房屋满五年-近地铁
新奥洋房,东城,1室0厅,47.7,精装,顶层,2006年建板塔结合,北,房屋满五年
广渠门内大街,东城,3室1厅,74.1,简装,低楼层,1980年建塔楼,东北,近地铁
北官厅胡同,东城,1室1厅,45.94,简装,顶层,1993年建板楼,南,房屋满五年-近地铁
民旺园,东城,2室1厅,57.5,精装,中楼层,板楼,南,房屋满五年
六铺炕,东城,2室1厅,54.38,简装,中楼层,1980年建板楼,东 西,房屋满两年-近地铁
地坛北里,东城,2室1厅,83.51,简装,中楼层,1999年建板塔结合,南 北,近地铁
幸福北里,东城,2室1厅,52.22,简装,低楼层,1980年建板楼,西南,房屋满五年
东直门外斜街,东城,1室1厅,47.27,精装,中楼层,1988年建塔楼,南 西,房屋满五年
和平里中街,东城,2室1厅,60.37,毛坯,顶层,板楼,南 北,房屋满五年
水上华城,东城,3室2厅,146.95,精装,高楼层,板塔结合,东南,房屋满五年
龙潭北里,东城,2室1厅,66.1,简装,顶层,板楼,南,房屋满五年
天坛东里南区,东城,3室1厅,64.24,简装,中楼层,板塔结合,东 南 西,房屋满两年-近地铁
华龙美晟,东城,3室1厅,121.33,精装,底层,2009年建板塔结合,东南,房屋满五年-近地铁
仓南胡同14号院,东城,2室1厅,70.6,简装,中楼层,1994年建板楼,南 北,房屋满两年-近地铁
富贵园四区,东城,1室1厅,55.4,精装,中楼层,2006年建塔楼,西,房屋满两年-近地铁
和平里七区,东城,2室1厅,60.59,精装,低楼层,1988年建板楼,南 北,房屋满五年-近地铁
自由季,东城,2房间1卫,51.61,其他,低楼层,2010年建塔楼,东,房屋满五年-近地铁
左安漪园,东城,2室1厅,85.99,精装,中楼层,2004年建板塔结合,东南,房屋满五年-近地铁
察慈小区,东城,1室1厅,49.33,精装,中楼层,1992年建板塔结合,南,房屋满两年-近地铁
夕照寺西里,东城,3室1厅,55.95,精装,中楼层,1978年建板楼,南 北,房屋满两年-近地铁
百荣嘉园,东城,1室0厅,47.21,精装,中楼层,2015年建板塔结合,东,房屋满两年
鸿安国际大厦,东城,2室2厅,152.66,毛坯,顶层,2004年建板塔结合,东 南,房屋满五年
左安漪园,东城,2室2厅,121.9,简装,中楼层,2004年建板楼,南 北,房屋满五年-近地铁
本家润园一期,东城,3室1厅,125.98,精装,低楼层,2006年建板楼,东 西,房屋满五年
左安漪园,东城,2室1厅,90.2,精装,高楼层,板塔结合,西,房屋满五年-近地铁
豆瓣胡同,东城,3室1厅,85.88,简装,底层,板楼,南 北,房屋满五年-近地铁
交道口北二条35号院,东城,1室1厅,35.15,简装,地下室,1988年建板楼,南,房屋满两年-近地铁
玉石胡同,东城,3室1厅,61.37,其他,地下室,1990年建板楼,南 北,房屋满五年-近地铁
