lng,lat,type
116.282897,39.859343,41
116.56078,40.063613,2357
117.131713,40.138519,5
116.001475,40.453194,3
116.465558,39.933884,5
116.222373,40.211597,41
116.421451,39.871509,78
116.509758,39.870642,2518
116.333313,39.897215,5
116.612616,40.043526,4
116.676627,39.975352,41
116.325512,39.621046,3
116.997181,40.169651,4
116.139509,39.858046,2357
116.521278,39.75466,41
116.263243,39.863854,4
116.502677,39.742374,2338
116.700709,39.790966,3433
116.666953,40.028815,78
116.225208,39.845646,3
116.572745,39.893339,3
116.54934,39.971913,2357
116.500273,39.871947,41
116.488455,39.988326,41
116.280413,39.541378,87
116.116707,39.928758,5
116.374198,39.864478,41
116.376544,39.949787,5
116.129953,39.744255,5
116.372313,39.98684,4
116.221252,40.21479,2338
116.603804,39.760375,3399
116.43859,39.907076,3
116.417944,39.965823,3
116.373374,39.90705,41
116.495902,39.962428,3
116.46883,39.829551,4
116.560218,39.772437,3400
116.636641,39.905833,41
116.654149,39.79758,4
116.34631,39.889726,3
116.637496,40.165923,3
116.421531,40.022139,3
116.534713,40.01367,41
116.541251,39.91136,41
116.45758,39.97898,41
116.227798,39.945835,1952
116.841384,39.857215,3
116.5896,40.018887,4
116.54859,39.872184,41
116.417053,39.924533,4
116.518092,39.977995,2424
116.65692,39.911898,41
116.434136,39.93204,4
116.355828,39.93364,5
116.66368,39.743589,2357
116.511767,40.009728,4
116.287704,40.108291,2338
116.335618,39.90421,2354
116.43434,39.921653,3
116.433544,39.946933,2357
116.477683,39.899447,3
116.378978,39.950457,4
116.36344,39.945804,41
115.872192,40.465009,2431
116.416779,39.915581,78
116.458267,40.186574,2357
116.310217,39.921488,78
116.296233,40.014384,41
116.373442,39.911518,41
116.361449,40.012026,41
116.353659,39.97927,3
116.64678,39.809455,3
116.832526,40.435937,3
116.559322,39.788628,41
116.653913,39.913567,4
116.367957,40.004146,3
116.52792,40.031672,4
116.621256,40.273362,2357
116.489913,39.913879,3
116.622125,40.055282,2354
116.029761,39.612576,4
116.353041,39.998809,41
116.386944,39.94888,3
116.467864,40.031383,2338
115.966128,39.732034,3433
116.373968,39.907594,5
116.293173,40.100402,41
117.139385,40.527285,2357
116.212161,39.793381,3
116.374313,40.025172,41
116.284148,39.897078,3
116.36813,39.77708,2518
116.211608,39.918105,41
116.70597,40.107635,5
116.591117,39.822531,41
116.45188,40.003501,3
116.413909,39.61674,41
116.471786,39.982707,41
116.264624,39.904605,41
116.133681,40.059863,41
116.414435,40.061068,3
116.380235,39.99441,4
116.579596,39.755713,41
116.130782,40.057094,41
116.586821,40.115061,3
116.513076,39.893084,3
116.371779,39.949516,3
116.473555,39.935893,41
116.340765,39.779548,2357
116.473815,39.992286,4
116.364784,39.918158,3
116.351324,39.70505,2545
116.314559,39.911269,41
116.280037,39.914377,4
116.337111,39.753966,4
116.334372,39.892941,4
116.356006,39.927248,41
116.345771,39.731788,41
116.489882,39.903293,3
116.325649,39.923525,5
116.670555,39.892264,5
116.442531,39.848455,4
116.47293,39.930186,4
116.422234,39.941033,5
116.625091,39.856387,50052
116.342841,39.988886,41
116.313584,39.789251,2357
116.297698,39.820346,3
116.201552,40.167307,41
116.600986,40.045754,2357
116.351973,39.967749,3
116.295958,39.878827,2354
116.367766,39.708998,3
116.303961,39.536311,41
116.486739,39.859313,41
116.552108,39.841692,3
116.571692,40.03443,3
116.546431,40.116705,41
116.442527,39.987192,41
116.398169,39.933471,41
116.564224,40.144714,2553
116.506935,39.923237,78
116.21173,40.282969,41
116.343733,39.777553,41
116.517126,39.907832,41
116.29784,39.866431,2357
116.603003,40.019164,3
116.183489,39.718997,3433
116.37832,39.988668,2357
116.229033,39.841349,41
116.50299,39.774844,3
116.394914,39.948801,4
116.252781,39.902953,5
116.426903,39.912248,2354
116.461486,39.904536,41
116.3682,39.907375,41
116.356414,39.918102,4
116.444123,39.903676,3
116.363051,39.910155,3
116.550109,39.768256,41
116.37165,39.999313,41
116.41072,39.908453,3
116.460105,39.953803,41
116.587039,40.076232,4
116.497153,39.999812,41
115.997066,39.659816,5
116.285006,39.933732,5
116.487907,40.086614,78
116.432066,40.061486,5
116.708914,39.915908,3
116.376442,39.930913,4
115.912367,40.369178,41
116.641867,40.204673,41
116.663375,40.140726,4
116.694903,39.774252,3433
116.55086,40.13018,4
116.430642,39.864091,4
116.666495,39.885833,50052
116.406805,39.8974,41
116.320036,39.783885,41
116.518541,39.794124,2431
116.474358,39.87957,4
116.489287,39.953135,3400
116.48577,39.853393,41
116.542266,39.93598,2354
116.359748,39.912894,50052
116.35338,39.960482,5
116.587181,39.740227,2357
116.231451,40.196048,41
116.209331,39.837443,41
116.387056,39.857009,5
116.818694,40.140181,41
116.100417,39.934546,3
116.326146,39.87448,2357
116.321921,40.064131,41
116.658839,40.349337,4
116.462218,39.923423,41
116.277186,39.917096,5
116.282723,39.860057,4
117.166671,40.426417,41
116.684886,40.427196,2431
116.316436,40.169726,41
116.285123,39.774139,5
116.344224,39.889399,4
116.783568,39.761123,41
116.439529,40.051238,41
116.272293,39.964826,2431
117.045546,40.080264,41
116.302169,39.908534,3
116.362874,40.011307,2518
116.287108,40.081916,41
116.299551,40.048522,3
